vehicle_id,trip_id,tyre_id,axle_type,odometer_km,ambient_temp_c,vehicle_speed_kmph,pressure_kpa,temperature_c,load_kg,deformation_mm,tread_depth_mm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,vibration_rms_g,rotational_speed_rpm,pressure_deviation_pct,temp_rise_rate_c_per_min,load_ratio_pct,load_pressure_ratio,tread_wear_pct,injected_scenario,tyre_health_score,risk_class,dominant_fault
104,6,RRO,drive,125254.7,31.05,58.54,653.05,70.53,1724.73,8.49,6.282,0.0076,-0.0735,1.0617,3.738,-0.475,1865.283,0.0556,309.54,-5.22,0.46,86.24,264.11,65.1,normal,91.57,Healthy,pressure
2,3,FR,steer,233104.4,40.49,31.27,703.67,67.57,2322.65,8.79,0.3,0.0171,-0.035,1.0567,-1.698,-0.213,978.656,0.0397,164.49,-7.17,1.116,68.31,330.08,98.33,normal,65.24,Watch,tread_wear
168,7,RRO,drive,247710.9,25.15,50.31,707.74,61.33,1422.31,9.68,0.3,0.065,-0.0001,1.0432,1.607,-3.517,1600.542,0.0451,267.4,2.72,0.45,71.12,200.96,98.33,normal,71.27,Watch,tread_wear
14,4,RRI,drive,149661.2,34.05,46.76,735.11,68.34,1575.7,9.09,0.419,0.048,-0.0495,0.9757,-0.203,-0.714,1486.32,0.0422,250.26,6.69,0.904,78.79,214.35,97.67,normal,64.39,Watch,tread_wear
76,6,RLI,drive,244103.0,47.21,74.44,679.79,140.0,1691.18,11.11,0.3,0.0127,-0.032,0.9733,-3.946,0.552,2368.713,0.0252,395.11,-1.34,7.323,84.56,248.78,98.33,overheating,27.49,Critical,temperature
138,5,RRI,drive,249302.4,36.09,96.55,721.5,88.61,2304.76,8.4,0.3,-0.0963,0.1718,1.0941,-0.931,1.996,3071.827,0.126,514.16,4.72,1.487,115.24,319.44,98.33,overload,35.05,Critical,tread_wear
22,4,FL,steer,86777.8,28.93,71.66,800.72,70.79,2507.36,30.86,9.742,-0.0019,0.0925,1.0499,0.847,3.627,2237.619,0.0607,371.49,5.64,1.668,73.75,313.14,45.88,deformation_bulge,89.09,Healthy,deformation
144,8,RRI,drive,81754.5,28.68,42.46,713.9,67.02,1322.78,5.57,10.002,-0.0312,0.0224,1.0361,-3.062,-0.482,1352.253,0.0304,225.33,3.61,0.841,66.14,185.29,44.43,normal,99.73,Healthy,none
33,4,RLO,drive,238048.1,37.83,36.6,403.94,96.23,1289.2,13.19,0.3,0.0668,-0.0628,0.9078,-0.912,0.077,1160.49,0.0751,195.0,-41.37,0.605,64.46,319.16,98.33,underinflation,12.13,Critical,pressure
160,1,RLI,drive,214236.2,26.94,84.84,650.88,74.87,1647.53,5.64,0.3,-0.0372,-0.0087,0.9303,1.073,0.326,2702.162,0.0459,450.26,-5.53,-0.667,82.38,253.13,98.33,normal,61.94,Watch,tread_wear
29,1,RLO,drive,258803.8,35.17,92.47,722.68,83.65,1926.11,5.29,0.3,0.0195,0.054,1.0149,0.6,4.021,2939.424,0.0342,492.24,4.89,0.997,96.31,266.52,98.33,normal,51.37,Warning,tread_wear
166,7,FR,steer,179832.5,30.37,88.24,920.49,78.68,1909.02,7.3,2.126,0.0747,0.0053,1.0319,-2.394,-3.169,2750.189,0.047,462.49,21.44,2.082,56.15,207.39,88.19,overinflation,68.75,Watch,pressure
38,6,FR,steer,191195.3,21.67,72.27,727.25,65.58,2943.79,37.15,0.3,0.0445,-0.0233,0.9569,-3.226,-0.273,2259.259,0.0382,374.95,-4.06,1.365,86.58,404.78,98.33,deformation_bulge,57.82,Warning,tread_wear
150,2,RRO,drive,281408.3,28.33,68.2,678.3,68.08,1247.66,7.92,0.3,0.0295,-0.0035,0.9979,1.412,1.549,2177.867,0.0172,361.45,-1.55,0.751,62.38,183.94,98.33,normal,74.27,Watch,tread_wear
