epoch,loss
1,0.106869
2,0.078570
3,0.064067
4,0.055836
5,0.050594
6,0.046811
7,0.043739
8,0.040996
9,0.038389
10,0.035847
11,0.033336
12,0.030836
13,0.028390
14,0.026053
15,0.023892
16,0.021961
17,0.020293
18,0.018887
19,0.017723
20,0.016767
21,0.015983
22,0.015338
23,0.014805
24,0.014361
25,0.013986
26,0.013668
27,0.013392
28,0.013151
29,0.012939
30,0.012749
31,0.012577
32,0.012420
33,0.012275
34,0.012142
35,0.012017
36,0.011900
37,0.011790
38,0.011686
39,0.011587
40,0.011493
41,0.011403
42,0.011316
43,0.011233
44,0.011152
45,0.011075
46,0.010999
47,0.010926
48,0.010855
49,0.010786
50,0.010719
51,0.010654
52,0.010590
53,0.010528
54,0.010468
55,0.010408
56,0.010350
57,0.010292
58,0.010236
59,0.010180
60,0.010126
61,0.010072
62,0.010019
63,0.009966
64,0.009914
65,0.009864
66,0.009813
67,0.009763
68,0.009714
69,0.009665
70,0.009617
71,0.009569
72,0.009522
73,0.009475
74,0.009429
75,0.009383
76,0.009337
77,0.009292
78,0.009248
79,0.009203
80,0.009159
81,0.009116
82,0.009073
83,0.009030
84,0.008987
85,0.008945
86,0.008903
87,0.008862
88,0.008821
89,0.008780
90,0.008739
91,0.008699
92,0.008660
93,0.008620
94,0.008581
95,0.008543
96,0.008504
97,0.008466
98,0.008428
99,0.008391
100,0.008353
101,0.008317
102,0.008280
103,0.008244
104,0.008208
105,0.008173
106,0.008138
107,0.008104
108,0.008069
109,0.008036
110,0.008002
111,0.007969
112,0.007936
113,0.007904
114,0.007871
115,0.007840
116,0.007808
117,0.007777
118,0.007747
119,0.007716
120,0.007686
121,0.007657
122,0.007627
123,0.007599
124,0.007570
125,0.007542
126,0.007514
127,0.007487
128,0.007460
129,0.007433
130,0.007406
131,0.007380
132,0.007354
133,0.007329
134,0.007303
135,0.007278
136,0.007253
137,0.007229
138,0.007205
139,0.007180
140,0.007157
141,0.007133
142,0.007110
143,0.007087
144,0.007064
145,0.007041
146,0.007019
147,0.006997
148,0.006975
149,0.006954
150,0.006932
